Date,Spot,Futures
1979-09-01,947.280029,954.5
1979-10-01,914.619995,924
1979-11-01,955.400024,955
1979-12-01,970.429993,979.25
1980-01-01,980.280029,987.75
1980-02-01,1049.339966,1050.5
1980-03-01,1101.75,1110.5
1980-04-01,1111.75,1119.25
1980-05-01,1090.819946,1090.75
1980-06-01,1133.839966,1143
1980-07-01,1120.670044,1146
1980-08-01,957.280029,958
1980-09-01,1017.01001,1026
1980-10-01,1098.670044,1105.2
1980-11-01,1163.630005,1162.5
1980-12-01,1229.22998,1245.5
1981-01-01,1279.640015,1281.5
1981-02-01,1238.329956,1235.5
1981-03-01,1286.369995,1293.25
1981-04-01,1335.180054,1347.5
1981-05-01,1301.839966,1286
1981-06-01,1372.709961,1381.7
1981-07-01,1328.719971,1331.8
1981-08-01,1320.410034,1319.8
1981-09-01,1282.709961,1298.2
1981-10-01,1362.930054,1376.25
1981-11-01,1388.910034,1391.5
1981-12-01,1469.25,1484.25
1982-01-01,1394.459961,1401
1982-02-01,1366.420044,1372
1982-03-01,1498.579956,1515.25
1982-04-01,1452.430054,1460
1982-05-01,1420.599976,1422.25
1982-06-01,1454.599976,1468
1982-07-01,1430.829956,1439
1982-08-01,1517.680054,1521.25
1982-09-01,1436.51001,1453.75
1982-10-01,1429.400024,1440.25
1982-11-01,1314.949951,1321.5
1982-12-01,1320.280029,1335
1983-01-01,1366.01001,1373
1983-02-01,1239.939941,1242
1983-03-01,1160.329956,1169.25
1983-04-01,1249.459961,1254.25
1983-05-01,1255.819946,1257.5
1983-06-01,1224.380005,1231.75
1983-07-01,1211.22998,1215.25
1983-08-01,1133.579956,1135
1983-09-01,1040.939941,1043.75
1983-10-01,1059.780029,1060.75
1983-11-01,1139.449951,1140
1983-12-01,1148.079956,1149.2
1984-01-01,1130.199951,1130.4
1984-02-01,1106.72998,1107
1984-03-01,1147.390015,1149.25
1984-04-01,1076.920044,1077.25
1984-05-01,1067.140015,1067.5
1984-06-01,989.820007,990
1984-07-01,911.619995,911.5
1984-08-01,916.070007,916
1984-09-01,815.280029,815
1984-10-01,885.76001,885.5
1984-11-01,936.309998,936
1984-12-01,879.820007,879
1985-01-01,855.700012,854.75
1985-02-01,841.150024,841
1985-03-01,848.179993,847
1985-04-01,916.919983,916
1985-05-01,963.590027,963.25
1985-06-01,974.5,973.25
1985-07-01,990.309998,989.25
1985-08-01,1008.01001,1007.75
1985-09-01,995.969971,994
1985-10-01,1050.709961,1049.5
1985-11-01,1058.199951,1057.75
1985-12-01,1111.920044,1110.5
1986-01-01,1131.130005,1130
1986-02-01,1144.939941,1144.5
1986-03-01,1126.209961,1125
1986-04-01,1107.300049,1106
1986-05-01,1120.680054,1120.25
1986-06-01,1140.839966,1140.5
1986-07-01,1101.719971,1101
1986-08-01,1104.23999,1104
1986-09-01,1114.579956,1115
1986-10-01,1130.199951,1130.25
1986-11-01,1173.819946,1174
1986-12-01,1211.920044,1213.75
1987-01-01,1181.27002,1181.75
1987-02-01,1203.599976,1204
1987-03-01,1180.589966,1184
1987-04-01,1156.849976,1158.5
1987-05-01,1191.5,1192.25
1987-06-01,1191.329956,1195.5
1987-07-01,1234.180054,1236.75
1987-08-01,1220.329956,1221.5
1987-09-01,1228.810059,1234.25
1987-10-01,1207.01001,1209.75
1987-11-01,1249.47998,1251
1987-12-01,1248.290039,1254.75
1988-01-01,1280.079956,1283.5
1988-02-01,1280.660034,1282.5
1988-03-01,1294.869995,1303.25
1988-04-01,1310.609985,1316
1988-05-01,1270.089966,1272
1988-06-01,1270.199951,1279.5
1988-07-01,1276.660034,1281.75
1988-08-01,1303.819946,1305.5
1988-09-01,1335.849976,1345.4
1988-10-01,1377.939941,1383.25
1988-11-01,1400.630005,1403
1988-12-01,1418.300049,1428.5
1989-01-01,1438.23999,1443
1989-02-01,1406.819946,1409
1989-03-01,1420.859985,1431.25
1989-04-01,1482.369995,1488.5
1989-05-01,1530.619995,1533
1989-06-01,1503.349976,1515.5
1989-07-01,1455.27002,1462
1989-08-01,1473.98999,1476.75
1989-09-01,1526.75,1538
1989-10-01,1549.380005,1554.9
1989-11-01,1481.140015,1483.75
1989-12-01,1468.359985,1477.25
1990-01-01,1378.550049,1379.5
1990-02-01,1330.630005,1331.25
1990-03-01,1322.699951,1324
1990-04-01,1385.589966,1386
1990-05-01,1400.380005,1400.5
1990-06-01,1280,1281
1990-07-01,1267.380005,1267
1990-08-01,1282.829956,1282.5
1990-09-01,1166.359985,1169
1990-10-01,968.75,967.25
1990-11-01,896.23999,895.25
1990-12-01,903.25,900
1991-01-01,825.880005,822.5
1991-02-01,735.090027,734.25
1991-03-01,797.869995,794.75
1991-04-01,872.809998,870
1991-05-01,919.140015,918
1991-06-01,919.320007,915.5
1991-07-01,987.47998,984.5
1991-08-01,1020.619995,1019.75
1991-09-01,1057.079956,1053
1991-10-01,1036.189941,1033
1991-11-01,1095.630005,1094.75
1991-12-01,1115.099976,1110.75
1992-01-01,1073.869995,1070.5
1992-02-01,1104.48999,1103.5
1992-03-01,1169.430054,1165.25
1992-04-01,1186.689941,1183.5
1992-05-01,1089.410034,1088.5
1992-06-01,1030.709961,1026.5
1992-07-01,1101.599976,1098.25
1992-08-01,1049.329956,1048.25
1992-09-01,1141.199951,1136.75
1992-10-01,1183.26001,1179.75
1992-11-01,1180.550049,1179.5
1992-12-01,1257.640015,1253
1993-01-01,1286.119995,1282.5
1993-02-01,1327.219971,1326
1993-03-01,1325.829956,1321
1993-04-01,1363.609985,1359.75
1993-05-01,1345.199951,1344
1993-06-01,1320.640015,1315.5
1993-07-01,1292.280029,1288.5
1993-08-01,1218.890015,1217.75
1993-09-01,1131.420044,1126
1993-10-01,1253.300049,1249.25
1993-11-01,1246.959961,1246
1993-12-01,1257.599976,1252.5
1994-01-01,1312.410034,1308.25
1994-02-01,1365.680054,1364.5
1994-03-01,1408.469971,1403.25
1994-04-01,1397.910034,1393.5
1994-05-01,1310.329956,1309.25
1994-06-01,1362.160034,1356.5
1994-07-01,1379.319946,1374.5
1994-08-01,1406.579956,1405
1994-09-01,1440.670044,1434.25
1994-10-01,1412.160034,1406.75
1994-11-01,1416.180054,1414.5
1994-12-01,1426.189941,1420
1995-01-01,1498.109985,1493.25
1995-02-01,1514.680054,1513.25
1995-03-01,1569.189941,1562.75
1995-04-01,1597.569946,1592.25
1995-05-01,1630.73999,1629
1995-06-01,1606.280029,1599.25
1995-07-01,1685.72998,1680.5
1995-08-01,1632.969971,1631.25
1995-09-01,1681.550049,1674.25
1995-10-01,1756.540039,1751
1995-11-01,1805.810059,1804
1995-12-01,1848.359985,1841
1996-01-01,1782.589966,1776.5
1996-02-01,1859.449951,1857.5
1996-03-01,1872.339966,1864.5
1996-04-01,1883.949951,1878
1996-05-01,1923.569946,1921.5
1996-06-01,1960.22998,1952.5
