PRICE,CNTL,LOCAL,KNOWN,TOD,SEAS,CHOICE,NTASK,NREC,PERSON    
7,5,0,1,0,0,0,12,48,1                   
9,1,1,0,0,0,0,12,48,1                   
0,0,0,0,0,1,0,12,48,1                   
0,5,0,1,1,0,1,12,48,1                   
7,0,0,1,0,0,0,12,48,1                   
9,5,0,1,0,0,0,12,48,1                   
0,1,1,0,1,0,1,12,48,1                   
0,5,0,0,0,1,0,12,48,1                   
9,5,0,0,0,0,0,12,48,1                   
7,1,0,1,0,0,0,12,48,1                   
0,0,0,1,1,0,0,12,48,1                   
0,0,1,0,0,1,1,12,48,1                   
0,1,0,1,0,1,0,12,48,1                   
9,1,0,0,0,0,0,12,48,1                   
7,0,1,0,0,0,0,12,48,1                   
0,5,0,1,1,0,1,12,48,1                   
0,0,1,0,1,0,1,12,48,1                   
9,1,0,1,0,0,0,12,48,1                   
0,0,0,0,0,1,0,12,48,1                   
7,5,0,1,0,0,0,12,48,1                   
0,0,0,0,0,1,0,12,48,1                   
9,0,0,0,0,0,0,12,48,1                   
0,1,1,0,1,0,0,12,48,1                   
7,5,0,1,0,0,1,12,48,1                   
0,5,0,1,0,1,1,12,48,1                   
9,0,0,0,0,0,0,12,48,1                   
0,1,0,0,1,0,0,12,48,1                   
7,5,1,0,0,0,0,12,48,1                   
9,0,0,1,0,0,0,12,48,1                   
7,1,0,0,0,0,0,12,48,1                   
0,1,1,0,0,1,1,12,48,1                   
0,5,0,0,1,0,0,12,48,1                   
0,5,0,1,0,1,1,12,48,1                   
0,5,0,0,1,0,0,12,48,1                   
9,0,0,1,0,0,0,12,48,1                   
7,1,0,0,0,0,0,12,48,1                   
0,1,0,1,0,1,0,12,48,1                   
0,5,1,0,1,0,1,12,48,1                   
7,0,0,0,0,0,0,12,48,1                   
9,0,0,1,0,0,0,12,48,1                   
9,5,0,1,0,0,0,12,48,1                   
0,0,0,1,1,0,0,12,48,1                   
0,5,1,0,0,1,1,12,48,1                   
7,1,0,0,0,0,0,12,48,1                   
0,1,0,1,1,0,0,12,48,1                   
7,5,0,0,0,0,0,12,48,1                   
9,5,1,0,0,0,0,12,48,1                   
0,0,0,1,0,1,1,12,48,1                   
0,0,1,0,0,1,0,12,48,2                   
7,5,0,1,0,0,0,12,48,2                   
0,1,0,0,1,0,0,12,48,2                   
9,1,0,1,0,0,1,12,48,2                   
7,5,0,0,0,0,0,12,48,2                   
0,1,0,1,1,0,0,12,48,2                   
0,0,0,1,0,1,0,12,48,2                   
9,5,1,0,0,0,1,12,48,2                   
9,1,0,0,0,0,0,12,48,2                   
0,1,0,0,1,0,0,12,48,2                   
7,5,0,1,0,0,1,12,48,2                   
0,0,1,0,0,1,0,12,48,2                   
7,5,0,1,0,0,0,12,48,2                   
9,1,0,0,0,0,0,12,48,2                   
0,0,0,1,1,0,1,12,48,2                   
0,1,1,0,0,1,0,12,48,2                   
7,5,0,1,0,0,1,12,48,2                   
9,1,1,0,0,0,0,12,48,2                   
