Y,X                 
.8116000,-6.8601209 
.9072000,-4.3241300 
.9052000,-4.3586251 
.9039000,-4.3584267 
.8053000,-6.9558524 
.8377000,-6.6611453 
.8667000,-6.3554629 
.8809000,-6.1181020 
.7975000,-7.1151480 
.8162000,-6.8153086 
.8515000,-6.5199931 
.8766000,-6.2041200 
.8885000,-5.8538720 
.8859000,-6.1095231 
.8959000,-5.7983298 
.8913000,-5.4826721 
.8959000,-5.1717914 
.8971000,-4.8517059 
.9021000,-4.5171264 
.9090000,-4.1435732 
.9139000,-3.7090754 
.9199000,-3.4994891 
.8692000,-6.3007695 
.8872000,-5.9535048 
.8900000,-5.6420652 
.8910000,-5.0313770 
.8977000,-4.6806857 
.9035000,-4.3298470 
.9078000,-3.9284862 
.7675000,-8.5673513 
.7705000,-8.3632113 
.7713000,-8.1076827 
.7736000,-7.8239087 
.7775000,-7.5228787 
.7841000,-7.2188193 
.7971000,-6.9208188 
.8329000,-6.6289321 
.8641000,-6.3239469 
.8804000,-5.9913998 
.7668000,-8.7814645 
.7633000,-8.6631402 
.7678000,-8.4735315 
.7697000,-8.2473371 
.7700000,-7.9714287 
.7749000,-7.6761294 
.7796000,-7.3528127 
.7897000,-7.0720653 
.8131000,-6.7741740 
.8498000,-6.4788619 
.8741000,-6.1595175 
.8061000,-6.8356471 
.8460000,-6.5316527 
.8751000,-6.2240984 
.8856000,-5.9100949 
.8919000,-5.5985995 
.8934000,-5.2906452 
.8940000,-4.9742846 
.8957000,-4.6445485 
.9047000,-4.2905604 
.9129000,-3.8850556 
.9209000,-3.4083790 
.9219000,-3.1320025 
.7739000,-8.7267672 
.7681000,-8.6669560 
.7665000,-8.5110265 
.7703000,-8.1653886 
.7702000,-7.8860566 
.7761000,-7.5880438 
.7809000,-7.2834124 
.7961000,-6.9956786 
.8253000,-6.6918626 
.8602000,-6.3925450 
.8809000,-6.0673741 
.8301000,-6.6840297 
.8664000,-6.3787198 
.8834000,-6.0658552 
.8898000,-5.7522722 
.8964000,-5.1324147 
.8963000,-4.8113527 
.9074000,-4.0982693 
.9119000,-3.6617428 
.9228000,-3.2644011 
