Year,RealGNP,Invest,GNPDefl,Interest Rate,Inflation Rate,Constant,Trend,Real Investment,Real GDP,GDP Deflator
2000,87.1,2.034,81.9,9.23,3.4,1,1,2.484,87.1,81.887
2001,88,1.929,83.8,6.91,1.6,1,2,2.311,88,83.754
2002,89.5,1.925,85,4.67,2.4,1,3,2.265,89.5,85.039
2003,92,2.028,86.7,4.12,1.9,1,4,2.339,92,86.735
2004,95.5,2.277,89.1,4.34,3.3,1,5,2.556,95.5,89.12
2005,98.7,2.527,91.9,6.19,3.4,1,6,2.75,98.7,91.988
2006,101.4,2.681,94.8,7.96,2.5,1,7,2.828,101.4,94.814
2007,103.2,2.644,97.3,8.05,4.1,1,8,2.717,103.2,97.337
2008,102.9,2.425,99.2,5.09,0.1,1,9,2.445,102.9,99.246
2009,100,1.878,100,3.25,2.7,1,10,1.878,100,100
2010,102.5,2.101,101.2,3.25,1.5,1,11,2.076,102.5,101.221
2011,104.2,2.24,103.3,3.25,3,1,12,2.168,104.2,103.311
2012,105.6,2.479,105.2,3.25,1.7,1,13,2.356,106.5,105.214
2013,109,2.648,106.7,3.25,1.5,1,14,2.482,108.1,106.929
2014,111.6,2.856,108.3,3.25,0.8,1,15,2.637,110.7,108.686
