YEARID,TEAM,AVGSALRY,ALLSTARS,ATTEND,WINS,TI                
1997,1,1.0043700,1,1976886,84,5         
1998,1,1.2141470,2,2376783,85,5         
1999,1,1.3847040,1,2324943,69,5         
2000,1,1.7154720,2,2170233,81,5         
2001,1,1.5845060,2,2248722,75,5         
1998,2,.8985280,1,2881656,64,4          
1999,2,2.0207060,4,2731239,99,4         
2000,2,2.8938510,2,2681505,85,4         
2001,2,3.0386790,3,2655747,92,4         
1985,3,.6730450,1,1688607,65,17         
1986,3,.5897510,1,1628667,72,17         
1987,3,.5170180,2,1574154,69,17         
1988,3,.4389030,1,1516077,54,17         
1989,3,.3704110,1,1497933,63,17         
1990,3,.4548590,1,1479627,64,17         
1991,3,.7361400,1,2036097.0000000,93,17 
1992,3,1.1169460,4,2606742,98,17        
1993,3,1.2618610,5,3411882,104,17       
1994,3,1.6461170,3,3363363,96,17        
1995,3,1.6288080,2,2573532,101,17       
1996,3,1.6566170,6,2650401,96,17        
1997,3,1.6864030,7,2896398,100,17       
1998,3,1.9120630,6,3030372,105,17       
1999,3,2.5220690,2,2901015,103,17       
2000,3,2.8179280,5,2875257,94,17        
2001,3,2.9656830,2,2564379,87,17        
1985,4,.5254870,2,1973808,83,17         
1986,4,.4483190,3,1855548,73,17         
1987,4,.4633420,2,1862595,67,17         
1988,4,.5011880,1,2313846,54,17         
1989,4,.3653770,2,2291004,86,17         
1990,4,.2616240,2,2243619,76,17         
1991,4,.5651290,1,2099844,67,17         
1992,4,.7206260,3,2878983,88,17         
1993,4,.9092660,2,2918916,85,17         
1994,4,1.2532180,3,3007854,91,17        
1995,4,1.1876360,1,2729619,79,17        
1996,4,1.7028220,3,2888541,87,17        
1997,4,2.0178070,4,2991006,98,17        
1998,4,2.4118540,3,2973672,79,17        
1999,4,2.3030250,4,2822364,77,17        
2000,4,2.8085320,2,2655828,74,17        
2001,4,2.3310190,1,2719818,63,17        
1985,5,.4359020,3,1793907,80,17         
1986,5,.4966290,4,2220129,95,17         
1987,5,.6762780,3,2115477,77,17         
1988,5,.5790040,3,2224503,88,17         
1989,5,.6723750,2,2455029,82,17         
1990,5,.6424480,3,2455677,87,17         
1991,5,1.1722500,3,2453571,84,17        
1992,5,1.4067930,2,2414529,73,17        
1993,5,1.1974380,1,2484027,80,17        
1994,5,1.2619690,1,2389176,76,17        
1995,5,.8771760,2,2308419,96,17         
1996,5,1.1775970,1,2215593,85,17        
1997,5,1.2811400,1,2198907,77,17        
1998,5,1.7199090,3,2393064,92,17        
1999,5,2.0483060,3,2429838,93,17        
2000,5,2.5980110,4,2555307,85,17        
2001,5,3.4386200,1,2660688,82,17        
1985,6,.5152820,1,2182950,90,12         
1986,6,.4974920,2,2170476,92,12         
1987,6,.4756850,1,2290842,75,12         
1988,6,.4266920,1,2106648,75,12         
1989,6,.5806860,2,2308095,91,12         
